,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
584,215.0,420.0,5.200000000000001,3100.0000000000005,2.0000000000000004,16.0,12.0,3.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
713,420.0,1600.0,5.499999999999999,3199.999999999998,3.0,127.99999999999996,16.0,8.0,QHD,4G,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
102,215.0,420.0,6.2,3600.000000000002,5.999999999999998,8.000000000000002,19.0,20.0,FHD,4G,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
569,420.0,1600.0,5.0,2300.0000000000005,2.0000000000000004,128.00000000000009,13.0,5.0,FHD,3G,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1010,215.0,420.0,4.700000000000001,2999.9999999999995,0.9999999999999998,8.000000000000002,13.0,2.0,qHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
114,420.0,1600.0,6.499999999999999,4000.000000000002,3.999999999999999,127.99999999999996,12.0,4.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
120,215.0,420.0,6.1000000000000005,2999.9999999999995,5.999999999999998,32.0,13.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1890,420.0,1600.0,6.300000000000001,4000.000000000002,3.999999999999999,127.99999999999996,19.0,16.0,QHD,4G,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1818,420.0,1600.0,5.200000000000001,3100.0000000000005,3.0,127.99999999999996,19.0,3.0,FHD,4G,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1337,215.0,420.0,5.800000000000001,2999.9999999999995,3.999999999999999,8.000000000000002,12.0,8.0,QHD,4G,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1068,215.0,420.0,6.202986250957691,5000.000000000003,2.0000000000000004,16.0,10.0,5.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
656,215.0,420.0,6.300000000000001,3430.000000000002,2.000000000000001,3.999999978558516,13.0,8.0,QHD,4G,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
744,215.0,420.0,5.0,2100.0000000000005,0.9999999999999998,8.000000000000002,13.0,5.0,HD,3G,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1310,420.0,1600.0,6.400000000000001,5000.000000000003,3.999999999999999,63.99999999999999,13.0,16.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
914,215.0,420.0,6.98,4250.000000000002,0.9999999999999998,16.0,13.0,3.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1266,215.0,420.0,5.499999999999999,2999.9999999999995,3.0,32.0,16.0,5.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1534,215.0,420.0,5.200000000000001,2649.9999999999995,2.0000000000000004,16.0,16.0,5.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
689,420.0,1600.0,5.158913701823711,3100.0000000000005,3.0,63.99999999999999,14.0,7.0,FHD,4G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,215.0,420.0,5.0,2750.0000000000005,0.9999999999999998,8.000000000000002,18.0,2.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
125,420.0,1600.0,6.300000000000001,3499.9999999999977,3.999999999999999,127.99999999999996,14.0,25.0,QHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
69,215.0,420.0,6.2,4214.157679604297,6.000000000000001,32.0,13.0,13.0,HD,4G,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1780,215.0,420.0,5.0,3499.9999999999977,2.0000000000000004,16.0,18.0,5.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
