,time
161,30.587748527526855
973,6.57632851600647
686,11.40037989616394
861,7.341675519943237
211,15.825828075408936
570,5.0914928913116455
1042,10.852657556533813
1718,16.718671321868896
268,5.1653733253479
1079,26.977242708206177
329,61.348804235458374
1802,61.42255425453186
1572,61.48510193824768
1660,4.639577388763428
1040,13.981232166290283
119,58.87887692451477
615,10.727127075195312
1870,17.75069785118103
987,14.358777046203613
1425,61.51066493988037
800,61.428694009780884
1686,61.68392634391785
588,11.482712268829346
74,7.582101583480835
1023,21.264929056167603
1428,29.6288845539093
338,61.42035675048828
1394,3.5671494007110596
309,57.56168031692505
501,61.40490198135376
87,22.218756198883057
1458,45.28253149986267
1341,2.6685571670532227
767,61.65219449996948
1751,15.399076461791992
1745,6.364874839782715
542,61.36319041252136
862,3.233555793762207
1482,61.67784357070923
1771,61.415611267089844
855,61.404056549072266
1664,4.017553091049194
1053,21.42333960533142
746,61.40017890930176
1326,5.412702798843384
659,12.325063467025757
287,17.17206883430481
1773,58.952587842941284
545,61.39789867401123
1850,12.835402011871338
1406,61.78496980667114
462,61.42711091041565
1840,61.333290815353394
497,61.445274114608765
1654,53.99121046066284
1250,7.5781354904174805
1865,5.857596158981323
944,61.403831005096436
1378,4.89078164100647
647,61.38043141365051
1066,61.43072271347046
1641,7.742784738540649
372,61.669334411621094
1073,4.738218784332275
1009,14.7430739402771
1215,7.80180811882019
1292,5.486368656158447
1245,61.41184997558594
194,27.598559617996216
508,11.812060832977295
1017,61.406946420669556
450,0.49436473846435547
949,7.665460109710693
1253,7.029741287231445
1851,39.44668126106262
628,7.378894567489624
843,6.889343500137329
1889,44.18775749206543
738,61.48170471191406
1220,11.765794038772583
1743,4.9971604347229
1700,11.90334415435791
1452,8.139258861541748
333,13.580042362213135
1761,3.6439473628997803
1580,5.217286109924316
271,61.997254610061646
400,61.53504180908203
1769,6.464173793792725
341,5.351725816726685
1237,61.50698685646057
1271,8.986798286437988
704,61.511502265930176
1151,40.382028341293335
762,30.015276432037354
1445,38.82969808578491
1035,8.216354846954346
1723,12.384106159210205
1265,61.60083484649658
133,61.576035022735596
485,61.53985285758972
105,14.511061429977417
1711,60.62421488761902
388,5.732752799987793
708,10.252533435821533
1845,52.552239179611206
116,61.518704652786255
1344,11.080458879470825
821,61.56377410888672
473,61.89454793930054
429,35.684664249420166
31,6.941387414932251
1899,3.298811674118042
33,48.21839785575867
1145,3.6250979900360107
595,61.63607358932495
40,12.708494186401367
1335,4.493007659912109
1183,61.363553285598755
828,22.543737411499023
1072,50.64457607269287
1127,7.512782335281372
1562,19.488301992416382
1866,16.5017569065094
979,61.52911400794983
1290,6.936554193496704
839,24.313278198242188
1900,49.59305191040039
1258,61.359957456588745
1806,4.000547647476196
1291,33.041953802108765
1742,58.072996616363525
185,9.410187005996704
303,61.58148241043091
1816,54.57474088668823
1362,33.566582679748535
803,61.43201541900635
1797,2.8201849460601807
352,61.69746780395508
291,61.50793409347534
499,13.509240627288818
971,61.43611121177673
42,3.9928431510925293
1524,14.876507043838501
1391,61.59659957885742
459,2.362596035003662
1504,61.41916561126709
1877,5.062787771224976
1101,61.40871572494507
249,13.781442880630493
1148,5.640057563781738
1282,8.022941589355469
1689,13.37752389907837
1476,61.33719325065613
587,61.396384716033936
443,61.31191873550415
1247,61.560213804244995
1543,5.000565528869629
1005,61.38411283493042
505,61.40476369857788
1611,9.573463678359985
1058,4.455051422119141
225,4.78957462310791
1106,3.7487781047821045
698,44.444061040878296
351,61.49551510810852
16,6.194762706756592
406,61.39357852935791
162,61.65439224243164
1336,61.448391914367676
1219,61.357582807540894
71,6.287079572677612
1507,61.38688325881958
511,56.1075484752655
703,15.737241506576538
1893,17.125720262527466
804,6.766962051391602
619,60.6355082988739
651,61.37313413619995
1519,23.065300941467285
694,8.926183938980103
