,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1278,215.0,420.0,5.499999999999999,2500.0000000000005,0.9999999999999998,8.000000000000002,16.0,2.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
743,40.0,215.0,5.499999999999999,2599.9999999999995,2.0000000000000004,16.0,13.0,4.0,FHD,4G,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1619,40.0,215.0,5.521153000814049,4849.999999999996,2.0000000000000004,16.0,16.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1276,420.0,1600.0,4.700000000000001,2599.9999999999995,2.0000000000000004,128.00000000000009,19.0,2.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
286,40.0,215.0,6.490000000000001,5000.000000000003,3.0,127.99999999999997,16.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
598,420.0,1600.0,5.200000000000001,4753.415679792726,3.999999999999999,63.999999999999986,16.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1313,420.0,1600.0,6.7,4499.999999999999,5.999999999999998,127.99999999999997,19.0,25.0,QHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
356,215.0,420.0,6.529999999999999,4000.0000000000014,3.999999999999999,63.999999999999986,19.0,16.0,FHD,5G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1798,215.0,420.0,5.0,2389.999999999999,0.9999999999999998,8.000000000000002,12.0,2.0,HD,4G,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
910,40.0,215.0,5.499999999999999,3299.999999999998,3.0,16.0,13.0,5.0,FHD,4G,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
