,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
897,215.0,420.0,5.0,2540.0,1.0,8.0,9.0,3.0,HD,4G,1.0,0,1,0,1,1,1,0,0
125,40.0,215.0,6.5,4000.0,4.0,128.0,49.0,2.0,qHD,4G,2.0,0,1,0,1,1,1,0,0
69,215.0,420.0,5.3,4000.0,3.0,32.0,13.0,20.0,HD,4G,1.0,0,1,0,1,0,0,0,0
1780,215.0,420.0,5.0,2500.0,2.0,16.0,13.0,6.0,HD,4G,1.0,1,1,0,1,0,0,0,0
88,215.0,420.0,6.21,3400.0,3.0,32.0,13.0,16.0,FHD,4G,2.0,0,1,0,1,1,1,0,0
986,215.0,420.0,5.0,1700.0,2.0,16.0,13.0,2.0,qHD,4G,1.0,0,1,0,1,0,1,0,0
339,215.0,420.0,5.0,2500.0,2.0,16.0,13.0,6.0,HD,4G,1.0,1,1,0,1,0,0,0,0
446,215.0,420.0,5.5,3300.0,4.0,4.0,12.0,9.0,FHD,4G,2.0,0,0,1,1,1,1,0,0
1360,40.0,215.0,5.0,2300.0,2.0,16.0,13.0,9.0,HD,4G,1.0,0,1,0,1,1,1,0,0
1038,215.0,420.0,5.0,2540.0,1.0,8.0,9.0,3.0,HD,4G,1.0,0,1,0,1,1,1,0,0
1205,215.0,420.0,5.7,3000.0,3.0,32.0,13.0,16.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1150,215.0,420.0,4.7,1810.0,1.0,16.0,9.0,3.0,HD,4G,1.0,0,0,0,1,1,1,0,0
1516,215.0,420.0,6.38,4500.0,6.0,64.0,12.0,13.0,FHD,4G,3.0,1,0,0,1,1,0,0,0
141,40.0,215.0,6.5,4300.0,4.0,64.0,49.0,16.0,QHD,4G,4.0,0,1,0,1,1,0,0,0
535,40.0,215.0,5.2,3100.0,3.0,32.0,12.0,9.0,HD,4G,1.0,0,1,0,1,1,1,0,0
218,40.0,215.0,6.3,4035.0,4.0,64.0,49.0,16.0,FHD,4G,4.0,0,1,0,1,1,0,0,0
1545,40.0,215.0,5.5,3000.0,3.0,32.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
583,40.0,215.0,5.65,3100.0,3.0,32.0,12.0,9.0,FHD,4G,2.0,0,1,0,1,1,1,0,0
1002,40.0,215.0,5.5,3000.0,2.0,16.0,13.0,6.0,FHD,4G,1.0,0,1,0,1,0,1,0,0
1162,215.0,420.0,5.1,3000.0,4.0,32.0,12.0,6.0,QHD,4G,1.0,1,1,0,1,1,1,1,1
1741,215.0,420.0,6.0,3000.0,1.0,16.0,9.0,3.0,HD,3G,1.0,0,1,1,1,0,0,0,0
214,40.0,215.0,6.5,4300.0,4.0,64.0,49.0,16.0,QHD,4G,4.0,0,1,0,1,1,0,0,0
1117,215.0,420.0,7.0,5000.0,2.0,16.0,13.0,6.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1585,40.0,215.0,6.26,4000.0,3.0,32.0,12.0,20.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
777,40.0,215.0,6.59,4000.0,4.0,64.0,17.0,16.0,FHD,4G,3.0,0,1,0,1,1,0,0,0
1571,215.0,420.0,6.38,4500.0,1.0,64.0,49.0,16.0,FHD,4G,3.0,1,0,0,0,1,0,0,0
1668,40.0,215.0,5.5,3000.0,4.0,64.0,13.0,13.0,FHD,4G,2.0,0,1,0,1,0,0,0,0
489,215.0,420.0,5.2,3000.0,4.0,32.0,23.0,9.0,QHD,4G,1.0,1,1,0,1,1,0,0,0
1691,40.0,215.0,5.5,5000.0,3.0,32.0,13.0,13.0,FHD,4G,1.0,0,1,0,1,0,0,0,0
1735,215.0,420.0,5.0,2540.0,1.0,8.0,9.0,3.0,HD,4G,1.0,0,1,0,1,1,1,0,0
