,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
303,40.0,215.0,6.400000000000001,5101.790548772788,1.5000000000000013,63.999999999999986,16.0,20.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1816,40.0,215.0,5.200000000000001,2900.0000000000005,3.0,32.0,19.0,6.0,HD,3G,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1362,40.0,215.0,5.247498306142881,4123.364833283371,6.000000000000001,3.9999999999999982,14.0,4.0,qHD,4G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
803,40.0,215.0,5.1,3199.9999999999986,3.999999999999999,8.000000000000002,12.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
499,40.0,215.0,5.700000000000001,2999.9999999999995,1.5,32.0,19.0,8.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1391,40.0,215.0,4.846920970677327,3391.8556571199297,5.999999999999998,16.0,12.0,2.0,qHD,4G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,40.0,215.0,5.499999999999999,2300.0000000000005,2.0000000000000004,32.0,16.0,5.0,FHD,3G,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,40.0,215.0,6.669999999999999,4800.000000000003,0.9999999999999998,127.99999999999997,19.0,20.0,QHD,5G,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1689,40.0,215.0,5.200000000000001,2704.9999999999995,2.0000000000000004,32.0,10.0,4.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
1476,40.0,215.0,5.0,2999.9999999999995,3.0,16.0,19.0,2.0,FHD,4G,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1005,40.0,215.0,5.200000000000001,2609.999999999999,2.0000000000000004,32.0,13.0,3.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
505,40.0,215.0,5.499999999999999,2999.9999999999995,3.999999999999999,32.0,13.0,5.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1219,40.0,215.0,5.499999999999999,3074.999999999999,3.0,32.0,13.0,13.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
703,40.0,215.0,5.999999999999999,3600.000000000002,0.9999999999999998,8.000000000000002,12.0,13.0,FHD,4G,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1493,40.0,215.0,6.529999999999999,4000.0000000000014,5.999999999999998,63.999999999999986,18.0,5.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1481,40.0,215.0,5.999999999999999,2999.9999999999995,0.9999999999999998,8.000000000000002,13.0,13.0,HD,3G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
