,lr,batch,dropout,t0,tmult,weight_decay,max_acc_std,max_acc_mean,max_acc_0,max_acc_1,max_acc_2,max_acc_3,max_acc_4,epoch_max_acc_0,epoch_max_acc_1,epoch_max_acc_2,epoch_max_acc_3,epoch_max_acc_4
10,0.002,512.0,0.0,20.0,3.0,0.08,0.019758295578509357,0.7544450692647031,0.7437979201398912,0.7271726613831877,0.7695985459143354,0.7484207813493674,0.7832354375367342,32.0,21.0,88.0,88.0,52.0
11,0.01,2048.0,0.3,15.0,1.0,0.05000000000000001,0.02191064627965015,0.7525838575951295,0.755269517622917,0.7172943620312041,0.7581397186660345,0.7467279998665056,0.7854876897889863,95.0,35.0,33.0,32.0,50.0
12,0.005,512.0,0.0,5.0,2.0,0.1,0.02214597720530848,0.7543454347816011,0.7456082557195692,0.72048928627876,0.7699259409785726,0.7502160011421176,0.7854876897889863,78.0,7.0,80.0,92.0,20.0
13,0.003,2048.0,0.0,10.0,3.0,0.07,0.021516757226799015,0.746280830499277,0.7363737947018678,0.7197441802704959,0.7563221115852695,0.7364262286571402,0.7825378372816117,53.0,42.0,70.0,49.0,89.0
14,0.009000000000000001,2048.0,0.2,10.0,2.0,0.1,0.021059940309380118,0.7520814982957649,0.747460488689316,0.7172943620312041,0.765094041409831,0.7499754333464974,0.7805831660019763,94.0,33.0,39.0,33.0,83.0
15,0.006,2048.0,0.0,15.0,3.0,0.08,0.02358747037148101,0.7494757487792367,0.7378563177350731,0.7128801734064892,0.7623337623337623,0.7510730528841251,0.7832354375367342,77.0,94.0,95.0,99.0,63.0
16,0.003,1024.0,0.0,5.0,1.0,0.07,0.021072218871435892,0.7513938463758245,0.7481732047313664,0.720415904626431,0.7646593962383436,0.7411828890013702,0.7825378372816117,65.0,22.0,47.0,21.0,81.0
17,0.002,1024.0,0.0,5.0,2.0,0.05000000000000001,0.021915610385319063,0.7501518826024096,0.7440838352962951,0.7174919280182438,0.7666745693061482,0.7415258951068789,0.7809831852844819,99.0,32.0,94.0,84.0,85.0
18,0.001,512.0,0.1,15.0,3.0,0.09000000000000001,0.02609173862641343,0.7497433771112696,0.7452233522239918,0.7062701799543905,0.7727596017069702,0.7441781666416364,0.7802855850293594,75.0,93.0,72.0,78.0,99.0
19,0.009000000000000001,1024.0,0.3,20.0,1.0,0.09000000000000001,0.0179455631715483,0.7596102600339277,0.7496976251546404,0.732986746144641,0.7671092144776356,0.7613748240934904,0.7868828902992311,26.0,68.0,40.0,83.0,34.0
