,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1664,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
1053,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
746,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1326,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
659,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1
287,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1
1773,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
545,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
1850,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
1406,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
462,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1840,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
497,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1654,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1250,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
1865,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
944,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1
1378,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
647,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1066,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1641,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1073,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1009,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1
1215,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
1292,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1245,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
194,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
508,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
1017,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
450,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1
949,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
1253,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1851,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1
628,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
843,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1889,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1
1220,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1743,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1700,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
1452,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
333,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1761,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
1580,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
271,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
400,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1
1769,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
341,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
1237,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1
1271,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
