misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
200.0,2019.0,6.5,0,1,0,1,1,1,4G,4000.0,0,0,LG - K50S,720.0,1520.0,32.0,3.0,13,3.0,13,1.0
190.0,2019.0,6.22,0,1,0,1,0,0,4G,4050.0,0,0,LG - W30 Pro,720.0,1520.0,64.0,4.0,13,3.0,16,1.0
130.0,2019.0,6.26,0,1,0,1,0,0,4G,4000.0,0,0,LG - W30,720.0,1520.0,32.0,3.0,12,3.0,16,1.0
110.0,2019.0,6.19,0,1,0,1,0,0,4G,4000.0,0,0,LG - W10,720.0,1512.0,32.0,3.0,13,2.0,8,1.0
200.0,2019.0,6.2,0,1,0,1,1,0,4G,3500.0,0,0,LG - Stylo 5,1080.0,2160.0,32.0,3.0,13,1.0,5,1.0
370.0,2019.0,6.21,1,1,1,1,1,1,4G,3550.0,1,1,LG - G8S ThinQ,1080.0,2248.0,64.0,6.0,12,3.0,8,2.0
180.0,2018.0,5.5,0,1,0,1,0,0,4G,4500.0,0,0,LG - X power 3,720.0,1280.0,16.0,2.0,13,1.0,5,1.0
769.6595976319616,2020.0,6.6,1,0,1,0,1,1,5G,4500.0,1,0,Meizu - 17 Pro,1080.0,2340.0,128.0,8.0,64,4.0,20,1.0
530.0,2020.0,6.6,1,0,1,0,1,1,5G,4500.0,0,0,Meizu - 17,1080.0,2340.0,128.0,8.0,64,4.0,20,1.0
250.0,2019.0,6.5,1,0,1,1,1,0,4G,4500.0,0,0,Meizu - 16T,1080.0,2232.0,128.0,6.0,12,3.0,16,1.0
180.0,2019.0,6.5,0,0,0,1,0,0,4G,4000.0,0,0,Meizu - M10,720.0,1600.0,32.0,2.0,13,3.0,8,1.0
340.0,2019.0,6.2,1,0,0,0,1,1,4G,3600.0,0,0,Meizu - 16s Pro,1080.0,2232.0,128.0,6.0,48,3.0,20,1.0
