misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
3,2020.0,6.47,1,0,0,1,1,1,4G,5260.0,0,0,1080.0,2340.0,64.0,6.0,64.0,4.0,16.0,1.0
3,2020.0,6.47,1,1,0,0,1,0,4G,4000.0,0,0,1080.0,2340.0,128.0,6.0,48.0,4.0,20.0,1.0
3,2020.0,6.57,0,0,0,1,1,1,5G,4500.0,0,0,1080.0,2408.0,128.0,6.0,48.0,3.0,16.0,1.0
3,2020.0,6.57,0,0,0,0,1,1,5G,4200.0,0,0,1080.0,2400.0,128.0,8.0,40.0,2.0,32.0,2.0
3,2020.0,6.53,0,1,0,1,1,0,5G,4000.0,0,0,1080.0,2340.0,64.0,4.0,48.0,2.0,16.0,1.0
3,2020.0,6.0,1,1,0,1,1,1,4G,3600.0,0,1,1080.0,2520.0,128.0,4.0,12.0,3.0,8.0,1.0
3,2020.0,6.43,1,0,0,0,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,8.0,48.0,3.0,32.0,2.0
3,2020.0,6.3,0,1,0,1,1,1,4G,4050.0,0,1,1080.0,2340.0,64.0,4.0,25.0,2.0,13.0,1.0
3,2020.0,6.5,0,0,0,1,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,6.0,64.0,4.0,16.0,1.0
3,2020.0,6.4,1,0,0,1,1,1,5G,4025.0,0,0,1080.0,2400.0,128.0,8.0,48.0,4.0,32.0,1.0
3,2020.0,6.53,0,1,0,1,1,1,5G,4500.0,0,0,1080.0,2340.0,128.0,6.0,64.0,4.0,16.0,1.0
3,2020.0,6.47,1,1,0,1,1,1,4G,4500.0,0,0,1080.0,2340.0,128.0,6.0,64.0,4.0,24.0,1.0
3,2020.0,6.5,1,1,0,1,1,1,5G,4500.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,32.0,1.0
3,2020.0,6.53,1,0,0,0,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,6.0,40.0,4.0,32.0,1.0
3,2020.0,6.55,1,0,1,0,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,8.0,48.0,3.0,32.0,1.0
3,2020.0,4.7,0,0,1,0,1,1,4G,1821.0,1,1,750.0,1334.0,64.0,3.0,12.0,1.0,7.0,1.0
3,2020.0,6.67,1,0,0,1,1,1,5G,4700.0,0,0,1080.0,2400.0,128.0,6.0,64.0,4.0,20.0,1.0
3,2020.0,6.7,1,1,0,1,1,1,4G,4500.0,0,0,1080.0,2400.0,128.0,6.0,12.0,3.0,32.0,1.0
3,2020.0,6.53,1,0,0,0,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,32.0,1.0
3,2020.0,6.6,0,0,0,0,1,0,4G,4200.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,32.0,2.0
3,2020.0,6.81,0,1,0,1,1,1,5G,4500.0,0,0,1080.0,2400.0,64.0,6.0,64.0,4.0,24.0,1.0
3,2020.0,6.7,1,1,0,1,1,1,5G,4500.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,32.0,1.0
3,2020.0,6.7,1,1,0,0,1,1,4G,4500.0,0,0,1080.0,2400.0,128.0,6.0,48.0,3.0,32.0,1.0
3,2020.0,6.44,1,0,1,0,1,1,5G,4200.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,2.0
3,2020.0,6.44,1,0,0,1,1,1,5G,4400.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,1.0
3,2020.0,6.7,1,1,0,1,1,1,5G,4500.0,0,0,1080.0,2400.0,128.0,6.0,64.0,4.0,32.0,1.0
3,2020.0,6.55,1,0,1,0,1,1,5G,4000.0,1,0,1080.0,2400.0,128.0,8.0,48.0,4.0,16.0,1.0
3,2020.0,6.6,1,0,1,0,1,1,5G,4500.0,0,0,1080.0,2340.0,128.0,8.0,64.0,4.0,20.0,1.0
3,2020.0,6.5,1,0,1,0,1,1,5G,4025.0,0,0,1080.0,2400.0,256.0,12.0,48.0,4.0,32.0,1.0
3,2020.0,6.67,1,0,1,1,1,0,5G,4720.0,0,0,1080.0,2400.0,128.0,8.0,64.0,3.0,20.0,1.0
3,2020.0,6.47,1,1,0,0,1,1,5G,4000.0,0,0,1080.0,2340.0,128.0,6.0,64.0,4.0,20.0,1.0
3,2020.0,6.65,1,0,0,0,1,1,5G,5100.0,0,0,1080.0,2340.0,256.0,8.0,48.0,4.0,12.0,1.0
3,2020.0,6.57,1,0,0,0,1,1,5G,4000.0,0,0,1080.0,2340.0,128.0,8.0,64.0,4.0,32.0,2.0
3,2020.0,6.56,1,0,0,0,1,1,5G,4315.0,0,0,1080.0,2376.0,128.0,8.0,50.0,4.0,32.0,1.0
3,2020.0,6.89,1,0,0,1,1,1,5G,4500.0,0,0,1080.0,2256.0,256.0,8.0,64.0,3.0,16.0,1.0
3,2020.0,6.57,1,0,1,0,1,1,5G,4000.0,0,1,1080.0,2340.0,128.0,8.0,40.0,4.0,32.0,2.0
3,2020.0,6.55,1,0,1,0,1,1,5G,4300.0,0,1,1080.0,2400.0,128.0,8.0,48.0,3.0,16.0,1.0
3,2020.0,6.67,1,0,0,1,1,1,5G,4700.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,20.0,1.0
3,2020.0,6.4,1,0,1,0,1,1,4G,3130.0,0,1,1080.0,2340.0,256.0,8.0,12.2,2.0,8.0,1.0
3,2020.0,6.56,1,0,0,0,1,1,5G,4315.0,0,0,1080.0,2376.0,128.0,8.0,48.0,4.0,32.0,1.0
3,2020.0,6.65,1,0,1,1,1,1,5G,4500.0,0,0,1080.0,2340.0,128.0,8.0,64.0,3.0,8.0,1.0
3,2020.0,6.8,1,1,1,1,1,1,5G,5000.0,1,1,1080.0,2460.0,128.0,8.0,64.0,3.0,10.0,1.0
3,2020.0,6.1,1,0,0,0,1,1,5G,3800.0,0,1,1080.0,2340.0,128.0,6.0,50.0,3.0,32.0,1.0
3,2020.0,6.47,1,0,0,0,1,1,4G,4200.0,1,1,1080.0,2340.0,256.0,8.0,40.0,4.0,32.0,1.0
3,2020.0,6.44,1,0,1,0,1,1,5G,4200.0,0,0,1080.0,2400.0,128.0,6.0,64.0,4.0,32.0,2.0
